longitude,latitude,station_name,climate_id,date/time (lst),temperature_c,dew_point_temp_c,relative_humidity,wind_speed_kmh,visibility_km,station_pressure_kpa,weather
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T00:00:00.000000,-5.5,-9.7,72,24,4.0,100.97,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T01:00:00.000000,-5.7,-8.7,79,26,2.4,100.87,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T02:00:00.000000,-5.4,-8.3,80,28,4.8,100.8,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T03:00:00.000000,-4.7,-7.7,79,28,4.0,100.69,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T04:00:00.000000,-5.4,-7.8,83,35,1.6,100.62,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T05:00:00.000000,-5.3,-7.9,82,33,2.4,100.58,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T06:00:00.000000,-5.2,-7.8,82,33,4.0,100.57,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T07:00:00.000000,-4.9,-7.4,83,30,1.6,100.59,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T08:00:00.000000,-5.0,-7.5,83,32,1.2,100.59,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T09:00:00.000000,-4.9,-7.5,82,32,1.6,100.6,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T10:00:00.000000,-4.7,-7.3,82,32,1.2,100.62,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T11:00:00.000000,-4.4,-6.8,83,28,1.0,100.66,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T12:00:00.000000,-4.3,-6.8,83,30,1.2,100.66,Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-03-01T13:00:00.000000,-4.3,-6.9,82,28,1.2,100.65,Snow
