longitude,latitude,station_name,climate_id,date/time (lst),temperature_c,dew_point_temp_c,relative_humidity,wind_speed_kmh,visibility_km,station_pressure_kpa,weather
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T00:00:00.000000,-1.8,-3.9,86,4,8.0,101.24,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T01:00:00.000000,-1.8,-3.7,87,4,8.0,101.24,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T02:00:00.000000,-1.8,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog"
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T03:00:00.000000,-1.5,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog"
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T04:00:00.000000,-1.5,-3.3,88,7,4.8,101.23,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T05:00:00.000000,-1.4,-3.3,87,9,6.4,101.27,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T06:00:00.000000,-1.5,-3.1,89,7,6.4,101.29,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T07:00:00.000000,-1.4,-3.6,85,7,8.0,101.26,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T08:00:00.000000,-1.4,-3.6,85,9,8.0,101.23,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T09:00:00.000000,-1.3,-3.1,88,15,4.0,101.2,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T10:00:00.000000,-1.0,-2.3,91,9,1.2,101.15,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T11:00:00.000000,-0.5,-2.1,89,7,4.0,100.98,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T12:00:00.000000,-0.2,-2.0,88,9,4.8,100.79,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T13:00:00.000000,0.2,-1.7,87,13,4.8,100.58,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T14:00:00.000000,0.8,-1.1,87,20,4.8,100.31,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T15:00:00.000000,1.8,-0.4,85,22,6.4,100.07,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T16:00:00.000000,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T17:00:00.000000,3.0,0.0,81,13,16.1,99.81,Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T18:00:00.000000,3.8,1.0,82,15,12.9,99.74,Rain
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T19:00:00.000000,3.1,1.3,88,15,12.9,99.68,Rain
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T20:00:00.000000,3.2,1.3,87,19,25.0,99.5,Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T21:00:00.000000,4.0,1.7,85,20,25.0,99.39,Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T22:00:00.000000,4.4,1.9,84,24,19.3,99.32,Rain Showers
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T23:00:00.000000,5.3,2.0,79,30,25.0,99.31,Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T00:00:00.000000,5.2,1.5,77,35,25.0,99.26,Rain Showers
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T01:00:00.000000,4.6,0.0,72,39,25.0,99.26,Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T02:00:00.000000,3.9,-0.9,71,32,25.0,99.26,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T03:00:00.000000,3.7,-1.5,69,33,25.0,99.3,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T04:00:00.000000,2.9,-2.3,69,32,25.0,99.26,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T05:00:00.000000,2.6,-2.3,70,32,25.0,99.21,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T06:00:00.000000,2.3,-2.6,70,26,25.0,99.18,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T07:00:00.000000,2.0,-2.9,70,33,25.0,99.14,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T08:00:00.000000,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T09:00:00.000000,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T10:00:00.000000,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T11:00:00.000000,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T12:00:00.000000,1.7,-6.2,56,48,24.1,99.21,Mainly Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T13:00:00.000000,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T14:00:00.000000,1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T15:00:00.000000,0.0,-7.0,59,33,24.1,99.41,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T16:00:00.000000,-0.7,-8.7,55,24,24.1,99.5,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-02T17:00:00.000000,-2.1,-9.5,57,22,25.0,99.66,Snow Showers
